user_id,num_ratings,MAE,RMSE
A100JCBNALJFAW,29,3.066073395418465,3.3439612989094893
A100RW34WSLTUW,26,4.512884393355867,4.61337109501525
A100TWBGZRT50A,21,3.7148492510976845,3.839142616993866
A100WFKYVRPVX7,21,4.675541778062429,4.68431254122494
A100WO06OQR8BQ,37,3.56603022882392,3.876478880847943
A10175AMUHOQC4,49,4.439216765210154,4.636829991293146
A101IGU6UDKW3X,135,3.8011197597576785,3.899890325149313
A101R2PNWRP58,24,4.494762685143521,4.531373334814318
A1027EV8A9PV1O,20,4.627585513381667,4.671674805316249
A1033RWNZWEMR5,24,4.981935583686122,4.981970710648241
A103408HIST7SP,28,4.064888480573953,4.213475923197543
A103KNDW8GN92L,50,4.04995165830488,4.162416179260739
A103KWX1QFCG6I,21,4.478951690938312,4.516581225226762
A103RN7UTYYGC8,19,4.261708176339771,4.397257184079454
A1041053SID37WN8GTT8,62,3.96057799088686,4.0630804820225155
A1047CXPD3EIGU,22,4.831632225425901,4.836725703213909
A104EYZCOOSS2Z,19,4.47263988436382,4.500073202175071
A104L46J1RNYRH,25,4.079175539712236,4.363748848056122
A104LIHAWF1DGH,39,3.8097424232780384,4.046507510235286
A1050FV5E5MFO,19,4.806614660435535,4.818520981763419
A106016KSI0YQ,83,3.874686245872388,3.9652676310405632
A106RL7ZB0N5W8,30,3.4433754872678413,3.672333615512242
A106YXO3EHVD3J,112,3.7399198762760917,3.848694770806565
A1074GBGMK6136,69,4.44904521879291,4.486975009009102
A1075TNKVQDJ97,20,4.274278689214803,4.334142249717213
A107BIW9F8FHZK,27,4.829715723585012,4.890130230828231
A107H3XGCV6Y4Q,27,4.212239583987181,4.336145797717699
A107LG0JGCY77T,17,4.817341165837449,4.840561448420634
A107ZX1O8JZCN5,61,3.6570106360540127,3.8046062482926932
A10872FHIJAKKD,49,3.955591722031914,4.15770543168685
A1089V1E6BFW39,18,4.663389624301694,4.716146382843576
A108A421PC6MH3,24,3.1108548327772336,3.4762666240479434
A108LQ0NC9ZDAO,34,4.304552396320622,4.499484815076654
A109LWN9DUGPDP,40,4.233517726829828,4.3715532840006155
A10A4UOGYETQE9,27,3.6556507012848787,4.034186539900114
A10ADY0N5QKCHQ,19,4.360494734296632,4.469661817899955
A10AL9DABU66HY,19,4.788037078444819,4.810753696564686
A10AQSHGUSJM5Q,17,3.3808300323330123,3.512634717500429
A10AT9H6H4KMIN,29,4.249270849147006,4.288817060566424
A10BEZVSPSVFPR,25,4.377652540791711,4.449024213812422
A10BHYYEOT4ZG6,22,4.031644571442497,4.310044869449553
A10BS065D6B04T,22,4.486837011303576,4.63014883965901
A10C1WVKVP0JYJ,17,4.284744661649337,4.4035771306450515
A10C2SBALDLKU9,38,4.126976741853277,4.294468303952415
A10C5CJK1YKGV0,39,3.6970070226727056,4.011375050201012
A10CGGF8HTVNL9,22,3.9922450748332015,4.056270251537925
A10CJINP7KBR4W,64,4.207497726089612,4.304345406177977
A10CZULSJS6DQ8,23,4.914273242680245,4.918356857191758
A10D3I4NV0H6E5,30,3.6758258600483438,3.996083373528013
A10DB0H2NZF11E,82,3.557098312685089,3.7371449012579587
A10E3F50DIUJEE,41,3.6450770273314315,3.8398216399627496
A10E4X9WMS7JLK,26,4.2894912679955635,4.404857042241919
A10EH95EUDO9W3,24,4.149242266860031,4.199858752031024
A10EU5IAKELBDI,23,4.244936635568222,4.367065145672752
A10F9JB1KGTMWA,20,3.345155198280922,3.4801227395186607
A10G4BPT5MGBHY,40,4.248555131609204,4.311892727866218
A10G6EXQE1OYDH,20,4.401965623060173,4.475918756498589
A10G6FE925B5B,20,3.5746636551935103,3.657581458045961
A10GFXDB5NK8H6,17,4.388978766086838,4.521774795389986
A10GMSW3A9YDKZ,20,3.495060057688181,3.842623597429502
A10GQLC58ZBKMM,26,4.98747442528548,4.987495990967937
A10H3AHTRJG6QI,26,3.5378653154117723,3.7349252763592085
A10H47FMW8NHII,286,3.0263957553303027,3.2324384870833263
A10H52874HQ6HH,56,4.398937667577706,4.46891883731367
A10H5PGRWROYPY,29,4.780946146698262,4.80533793421315
A10H9MMKO8R9WW,21,4.632241480965921,4.652865676551375
A10HHM2684NZD2,14,3.4014701945181693,3.724484402756527
A10HIGTSU45VAI,21,4.11864180695183,4.17859647686614
A10HMPPHWI3V0A,20,3.9879993902533513,4.105998595531355
A10HZVT7ZQEOP1,41,4.159812562428893,4.252714519852001
A10JDPEQ8GJ2K1,48,3.445193772835014,3.6475606537000185
A10JE8HXBEEZ4C,17,4.60643732471709,4.62826112332763
A10JEEMDMP5PWU,20,4.1674874712713565,4.476295124458744
A10KEVPK6PBH5M,19,4.455952158685285,4.567647643727929
A10KEYE8DO4Q0V,38,4.714979389904016,4.765010884761458
A10KK981NCHT9Y,43,3.9203306551552783,4.166549149628828
A10L9B5PFUPQN7,30,4.032246025542272,4.1115164260682135
A10M1W7KBNSV2I,25,3.9663641148847,4.110556428699687
A10M1X244SBWTD,43,4.492385897434227,4.569381236791625
A10M52OJSDB8WK,26,3.782010423303442,4.078309778136095
A10MMVWAEYKI0C,20,4.667439835246834,4.706504849246411
A10MYW5Y7E30GO,19,4.515538603518478,4.567549166456615
A10NPPQEOF8QN6,39,4.873173024812021,4.875351939753333
A10NYV8QREC1H7,17,4.749833645162696,4.76942661851488
A10O7THJ2O20AG,81,4.223772507412973,4.404056025505683
A10ODC971MDHV8,343,3.303237872226833,3.4199521706094123
A10OFN0A2BB3DM,23,3.2205530115362015,3.2934680436660777
A10OIC8PYVCDOS,47,4.206199285175761,4.240505903421704
A10Q8NIFOVOHFV,35,3.9907293160399946,4.058484502327935
A10QUKLNY6C3GC,23,4.461373085990065,4.504964570173204
A10R1GZPWCIGZ,22,4.470092194384979,4.516625950120587
A10RHIFSHR359B,18,4.5862661050105595,4.636346815714074
A10STGPXGHL12J,17,4.297745842205916,4.329314220251551
A10T3NAGJRU4EE,47,3.7388430057844326,3.7597334241654856
A10U8DJAPJJI8I,19,2.8249376147547847,3.0590326466472884
A10UMWKU51R0KA,19,4.963186834435903,4.963287063327577
A10VXSS3D8IOOR,31,3.9130411259341105,4.00421090434259
A10WEZXZ8CY9OZ,21,4.701017168944562,4.731294030123211
A10WXN0EFSKHZJ,18,3.4015408711419335,3.5125458121383377
A10X0JN8KTK89H,39,3.8455267088419296,3.9657049001901425
A10XED5T4TXJWI,19,3.244972220396856,3.4376020455651943
A10XJR9XP7FGQN,19,4.98186544477561,4.9819339541991665
A10XRFM0POSLO2,23,3.872017565965491,3.939194954603284
A10YBRA10X34XN,26,4.341342402792073,4.384937501468305
A10YG5BXSCPD91,20,3.50662877917818,3.6815820096249094
A10YJQJE1CJV3H,19,3.313262628574687,3.7038138401637593
A10YNQ7SPY4X63,31,4.139966668987518,4.379312981878323
A10YZ5XQI922Y4,33,4.33781059087842,4.460498712529097
A10Z9Q81FK72KB,22,3.9190493600555922,4.108352977319365
A10ZE8HITPZ503,26,3.247140953979602,3.3703124252951806
A10ZQTNG1Z56IN,21,4.614334922873978,4.6985814192294875
A10ZUMCCLDNPKG,29,4.027361190181836,4.127062845903971
A110FNZSZQSKCP,65,4.4520060248860585,4.527537371424809
A110FZG6WGL0XM,31,4.9138564789795405,4.918748092971044
A110PYUEMTLMQ9,18,4.910804197678342,4.9112151041681065
A110Z7TIBRZLPA,35,4.321056811172368,4.501045603456993
A110ZJERHVYQQ9,22,4.853765239068924,4.893752717052046
A1115OU8UPVNGJ,28,4.785521937344228,4.8179962726680845
A111A7GRI52BL6,27,4.693616036856576,4.712089799921952
A111CSAB9KUP7V,45,3.821545268585435,3.924989775562132
A1120YLW78G31W,29,3.948104442557082,4.187953381068097
A1129LM24YWSZV,52,3.3616790313603144,3.447573155154565
A112EXGPYBT397,22,4.930468132078679,4.931189045775528
A112HYBLMBS7P6,43,4.84002362960686,4.869389657645581
A112NF3OPMYNUD,24,4.469757819425963,4.587922778648428
A112NIDJZLT2RY,42,3.263124466260141,3.4743075094700187
A112UYCJEYZPIP,25,3.6151249214899543,4.036577558802506
A1130B9F6WOF5V,30,4.0868118970697545,4.247275568267326
A113YU3OXKSKQU,59,3.560377906970117,3.703256455423905
A1143JP0YU6AYD,36,4.124431548978148,4.18947655931875
A1144FROW4FF40,24,4.162650833498296,4.183013283253054
A114OF2SINAHKZ,27,4.820346366679216,4.828890321434028
A1151RX4M3FPIP,16,4.110477451921136,4.14507897362976
A115DNKESW9EAE,51,4.983005408891046,4.9830161388594
A1162OIQ2K5D9E,35,4.014990406137011,4.130735545433812
A1167RGXBQY7JP,30,4.637100731283374,4.714200841048405
A116BPIANHZEP6,36,4.714033108830483,4.723046036759417
A116HO9V4B2YYY,29,4.430428943806101,4.51350136215381
A116VJVIYJIA37,18,4.492312343418949,4.5138548334506
A116W9OBHLZZH8,23,4.834225441276907,4.837124568885831
A117OCPOYS7D78,31,3.4575369411358765,3.681184184949996
A1180YL8VBJH8S,52,4.764557059326676,4.777852697292623
A119Q9NFGVOEJZ,28,4.878111872967467,4.879009701015368
A119RMVOBG7Q1R,19,4.727859229084545,4.781608093939561
A119YSLCAGGM25,53,3.622981775762576,3.6520414384434834
A11A75FIE3396D,36,3.8247932574557524,3.941657130497367
A11A8GWG0IXBZH,23,3.2278810389150796,3.543113914796361
A11B53O6FW2QDC,22,3.703045048444368,3.8589396876463185
A11B61QBGHLQDN,17,3.767397822512434,4.044306020060797
A11B9YJVH0RMPU,20,3.447209792598369,3.6939556521971766
A11BGJHCJ45RX9,19,4.54285715244858,4.603303800391379
A11BMDRKTLVUXC,23,4.873968330079552,4.8755890324927575
A11BQXTMP37M2S,37,3.8226616735873775,4.094004117958978
A11BSCGB3XPB6,27,2.3322667811727857,2.821586972776346
A11C43I615R52G,45,4.119458363018558,4.263798735321351
A11D5TH3NT4CWG,18,2.4798748469594964,2.9352783307499264
A11D9SBVAH1ZRT,19,4.938218195322626,4.938281933025464
A11DA38QUIYEPF,31,2.6601305920380205,2.9647019071030867
A11ED8O95W2103,70,3.3001836586927835,3.55439653272923
A11EPK2YPTYF04,40,2.8359785425209085,3.0126840747142847
A11FG650PAKYLV,22,3.6802969060093416,3.954059035706237
A11FR2JKCRB941,19,4.246776412438197,4.418852780039242
A11FX8HL2ANK6T,19,4.443448581984798,4.510235745745013
A11GBTUGNRGCR8,43,4.404545593587551,4.486485653364156
A11GCI6QKKJFMB,30,2.526073683770348,2.818361660661068
A11GI7O6GWYX1J,20,3.7521779070925136,3.8856548279326737
A11H09I2TOLZ6P,20,3.409607928375757,3.6387831684985286
A11H40JQV9CPCV,20,4.910447445298546,4.911786910757922
A11HXVC8Q42MYX,51,4.84938584230273,4.859148552557978
A11IR70Y60MNKT,40,2.98091914189639,3.194818894749238
A11J6CFP5DCBTE,98,4.275498986356686,4.325493934769111
A11KRMIA0ES88I,34,3.8831471719008115,3.9083877542222947
A11L32SO3KV0OC,17,4.425319316359849,4.455792974613331
A11L5M4MJP00UW,21,3.0978526068736945,3.559389638945737
A11LTA871TBYVT,16,4.987319735464715,4.987335233953799
A11M1TQ2X4V3EU,18,4.9167679394864985,4.917132851295509
A11MGPEYU3VO1U,21,3.3430569230514884,3.4647363604647823
A11N155CW1UV02,20,3.388113418098532,3.5091731180511294
A11NJGWOAM2D9F,20,4.227405956167852,4.343038794148885
A11OP1TI0C6C76,19,4.9423673314364684,4.947367738571193
A11OTLEDSW8ZXD,28,4.445239186826895,4.504818857648118
A11PE8VFYDJL8J,39,3.47268639337727,3.550549109201975
A11PK2MO25K5QW,23,4.063453043141198,4.1419778087479795
A11PRT1CCVHB52,22,4.625633568729602,4.649257270647037
A11PTCZ2FM2547,277,3.0808495528373876,3.243143633988304
A11QCFL21KOI1I,38,3.4373081578100937,3.723865454302317
A11R1SOISBH0PX,26,4.817321469431794,4.820158233542212
A11R5IRFFQPDCZ,16,2.978089354735872,3.2142338764556024
A11RM650DZWNWY,18,4.388830878032969,4.456899347669807
A11SGM6Z9083AD,20,4.243287327686256,4.3433256537744125
A11SNP427BDVSY,32,4.710166922821191,4.76964782062644
A11SPSEM08VIXX,58,3.8081304524040434,4.106154105647458
A11SQECTT7FM41,23,3.438063458967602,3.564432856333395
A11STSK2AIAQ4Z,23,4.169459400456624,4.288922239091665
A11TUHEHHENLBC,64,2.6625301526744236,3.0341287572675495
A11TXTVCFT246T,65,4.746299614742808,4.773369886007202
A11U69E7T7R7ON,44,4.578187260586993,4.667695679782036
A11UDE5XOHMRA3,28,4.2305761141408125,4.374531358371243
A11UO96AKBCGSZ,22,4.413862996206013,4.509565299887288
A11VF5HT9155MY,69,4.8139187983485865,4.865617349470602
A11VG3IJIMJXGV,27,4.1711395915994816,4.2333935179453945
A11W7IPE0SO9A5,26,2.9834441459710987,3.3017834510400936
A11X4QN3ZHR6E4,42,3.8802688214863483,3.9710729541070156
A11XKY4EIU2KNR,142,3.5035908082758294,3.814412617705498
A11XO2HER50IHG,26,2.050127704858239,2.709017930029589
A11XYL46MIEJQ7,25,3.227188171963535,3.498650055485203
A11Y38GP8LFLAW,34,4.854855077426621,4.862768225948474
A11Y51ZUQY2ALX,23,4.96551656636839,4.965887402995849
A11YIHB6IW352W,34,3.7101992473912397,3.884784312947899
A11YV6VC51HJTV,35,4.00066408989391,4.165703092374089
A1208PNKC2BMFD,24,4.993585343352364,4.993589712563535
A120GCE9HRKP6M,17,4.50165449929069,4.542924190334597
A120GIT50UISJP,48,3.6282005895855463,3.7490744834907654
A120UTHQDQIJGH,86,2.603947483494529,3.029077162111937
A120V3RVSK1O1K,27,3.255769469133211,3.49605668198352
A1210QJT54O8T0,33,4.239084315226531,4.300751424803937
A121660P9WJSER,85,4.020655632298292,4.0974826015754156
A12198UFI7B4IT,31,3.615965523571371,3.6906859387112436
A1219D8Z8HNVTH,35,4.702882339331592,4.7515357891670025
A121DDLLJU60DO,17,4.949507785210824,4.950003090629894
A121LU1P40URV,18,3.7174139428689097,3.8142435723090604
A121VLPO0FUEDI,17,4.641634971755932,4.664903009747741
A122BGH2A4NJBL,18,4.853224100850761,4.862802911380753
A122GP1W9RWZZ7,22,4.443804314351539,4.510447391767738
A1233Q0JC6BB38,20,3.254892378841771,3.6658978674914624
A123M8XAG2N1EC,18,3.7730815952227466,3.9113383489338034
A124J67X2DW82M,21,4.783745339410326,4.800227543251812
A12530N7Z1U7B0,20,4.919395395124135,4.9197937532531535
A1257UOB7BM9BK,22,3.2884643768486184,3.6767959447189784
A125C05ZANRWIH,28,4.211453486301318,4.419465855153768
A125IAITL057QQ,20,4.042927200596409,4.048855692687234
A125JDXQMS5E6O,22,3.2391118727178427,3.7039436048935985
A126KX6FVI4T66,264,2.9903066912493337,3.082152660084119
A126Q2HVTCS9P2,30,4.596944216970135,4.621605883135245
A127PCLKOSDS04,20,3.612022253023704,3.696794476571119
A127ZVBDESPQ2N,79,4.701146841434038,4.747687836664267
A128DUUMZLGUFB,20,4.140792275536486,4.292045224599548
A129YBX5BVNW2,85,4.055345991498255,4.163349206622208
A12A1XC57UOT48,22,4.651047214163615,4.7331015064267055
A12A8LU93A132U,49,3.491816713290623,3.6448237843650335
A12BSTT97SJMIS,28,4.8613890009736185,4.865990986703197
A12BXTSI4P73PA,23,4.887383184031764,4.8883100907350405
A12CBDHX1MJLGZ,44,4.150005965377878,4.366865976154713
A12CBUR8QGQ5UP,20,3.5487308301545797,3.800165967316238
A12CJ92H1CU4UY,20,2.1923007911854198,2.697750206741912
A12CN8FQSR18H9,84,4.712013883196721,4.783944583653721
A12DMIXQY2ID4V,22,4.392633789091824,4.441982537613691
A12DQZKRKTNF5E,20,4.072510083090593,4.19343755336592
A12DWEETVVOX4G,34,4.147068951910205,4.368548850292402
A12E4VW8DRC0U5,34,4.2140441507966315,4.349534045735125
A12E5M4U73K2XY,19,4.9000280815953285,4.900409717728868
A12EPBRNNOJP8,38,3.504138057578028,3.6247452922887797
A12EYBK36QCIDG,47,3.9329402842521652,4.05562805054136
