user_id,num_hidden_ratings,MAE,RMSE
A1R583OW6QK5CI,56,4.1580079889873165,4.2621295892076105
A1LQIGGUB7R6JS,16,3.1009428687122873,3.423869248641647
A9XXFVYDNTOPW,16,3.246501808374461,3.4426209133963375
A1VKS4ZTOJR3FX,18,4.775648941989633,4.793677201418585
A3QSM5XHPL1T6Y,27,3.476449524957662,3.8548257335751934
A2GZTI0EIOCQNZ,24,3.7980197737352337,3.97615548864048
A36Q4WV6CNHBFW,16,3.8397634563285465,4.076531013581734
AY3QKK2Q72O86,41,4.602026417473232,4.632720626286037
A2OF8EMCWMNMM6,17,2.6434059251125697,3.16864250865751
A22L4Z84Y9AA3U,25,4.529435681086768,4.608318719668396
A2TRDBTC8AF943,27,4.921207331193613,4.935618230469408
A2XCLJRGFANRC,46,4.877248121573523,4.887198619576372
A1KDGSZEJXSE9S,18,3.010722661869448,3.292192119501409
ADEJNRAT95LWV,16,4.5590558621397905,4.61300303800978
A20LK1LAVKME10,16,4.496081157876678,4.537589958333518
A3AHVZM2SMJTBK,22,3.839430156165122,3.9902976612784893
A20FCDYJBFBHW0,24,4.968518163777209,4.9687600845362025
ASN0V3QNMC296,28,4.537734127483621,4.61077074760193
A2MFNDNS1L7D16,78,3.7309256539098814,3.835488678275655
A2FBOL36JONUGO,22,3.6114635064813796,3.803376601782103
AYS2Z6SZJ0DUV,17,4.22917319284338,4.34654567077729
ACZ9DOXNXGMJP,18,4.1999196618900685,4.288807308430704
A2TE32FQVDH39,16,4.976079443716426,4.9765313014112325
A3U0ER6TKM83C8,56,4.567547826953421,4.643143541038257
ABUPJ0WEFPOYR,24,3.697221414608995,3.808003022120127
AY43C57I0BGAJ,16,4.8740022837125725,4.897998801919671
A6N14MTMJRPJI,75,4.557361266743183,4.661702181201684
A11XKY4EIU2KNR,113,3.677355712869836,3.983800554578449
A3L21A8CJ4CUTC,23,4.670132398119992,4.743741150458559
A30JORK6GIZDSX,36,4.984723443805581,4.9847999124329645
A1FNES0QEBJZD1,27,4.225306137175656,4.282049947677809
A1DPR4MHOB4KWC,17,3.696242545877678,3.828742520122185
A161ANWB62G3M8,51,4.3615393311595385,4.444435523983034
A20UXTMTBFL06P,24,4.8573602858616365,4.868852451126178
A3KFOUVQBIIL6Z,20,3.241231946197894,3.448714126828008
A2VGEPVBTMPUDU,21,4.5076075971658955,4.637974866855049
A1ZTSOBAPOWT3,100,3.6724454356853453,3.999692517532195
AII1IQT6OBJJ,17,4.478354971329027,4.594777604376651
A32054N42263IH,45,3.1601569354924757,3.335058769209963
A1TQBPDIBIWWVG,17,3.8759545853301463,4.208754055994777
A1J3YHT701F3YR,21,4.868644683531888,4.888060568641163
A2Z13QAST1E7Q9,18,4.937981903880044,4.943298444279505
A2OU415LB9I5J6,56,3.99175404391218,4.086719065011085
A2EKIE8ATFNAWU,16,4.7468300581820895,4.844486195938914
A21VM98A8XXFMM,17,4.983639551731595,4.983675977639389
A1FZKP9XTKMALD,22,3.5798369244667168,3.773865622165285
A2QAWS4YB3V5NP,16,4.308681936721297,4.3336955459972195
A25HIZKN80O2PG,16,4.498395481948632,4.688736364818273
AYP5082JDMAHL,20,4.773865992523456,4.811534722932655
A21KS1Q6XQ7IM0,24,4.045195556633084,4.0994255842119625
